imdb_id,title,release_year,release_date,duration,mpaa_rating,locations
tt0033467,Citizen Kane,1941,5 September 1941,1h 59min,PG,"California, USA"
tt0050613,Throne of Blood,1957,22 November 1961,1h 50min,NOT RATED,"Gotemba, Shizuoka, Japan"
tt0053946,Inherit the Wind,1960,November 1960,2h 8min,NOT RATED,"Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA"
tt0058150,Goldfinger,1964,9 January 1965,1h 50min,PG,"Realp, Uri, Switzerland"
tt0062622,2001: A Space Odyssey,1968,12 May 1968,2h 29min,G,"Desierto de Tabernas, Almería, Andalucía, Spain"
tt0066999,Dirty Harry,1971,23 December 1971,1h 42min,R,"Alamo Square, Hayes Valley, San Francisco, California, USA"
tt0068646,The Godfather,1972,24 March 1972,2h 55min,R,"NY Eye and Ear Infirmary, 2nd Avenue & East 13th Street, New York City, New York, USA"
tt0070034,Enter the Dragon,1973,19 August 1973,1h 42min,R,"Aberdeen Harbour, Aberdeen, Hong Kong, China"
tt0071532,The Gambler,1974,17 February 1975,1h 51min,R,"Tucson, Arizona, USA"
tt0071562,The Godfather: Part II,1974,20 December 1974,3h 22min,R,"2045 N. Hibiscus Drive, North Miami, Florida, USA"
tt0073195,Jaws,1975,20 June 1975,2h 4min,PG,"Martha's Vineyard, Massachusetts, USA"
tt0075314,Taxi Driver,1976,8 February 1976,1h 54min,R,"Manhattan, New York City, New York, USA"
tt0076759,Star Wars: Episode IV - A New Hope,1977,25 May 1977,2h 1min,PG,"Cardington Airship Hangars, Bedfordshire, England, UK"
tt0078748,Alien,1979,22 June 1979,1h 56min,R,"Shepperton Studios, Shepperton, Surrey, England, UK"
tt0078788,Apocalypse Now,1979,15 August 1979,2h 27min,R,Philippines
tt0080179,Drunken Master,1978,5 October 1978,1h 51min,PG-13,"Jardim de Lou Lim Ioc - 10 Estrada de Adolfo de Loureiro, Sao Lazaro, Macau, China"
tt0080487,Caddyshack,1980,25 July 1980,1h 38min,R,"Los Angeles, California, USA"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,20 June 1980,2h 4min,PG,"Banks, Oregon, USA"
tt0080789,Gideon's Trumpet,1980,30 April 1980,1h 44min,NOT RATED,"Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA"
tt0082517,History of the World: Part I,1981,12 June 1981,1h 32min,R,"Caesars Palace - 3570 Las Vegas Boulevard South, Las Vegas, Nevada, USA"
tt0082971,Raiders of the Lost Ark,1981,12 June 1981,1h 55min,PG,"Yuma, Arizona, USA"
tt0083131,Stripes,1981,26 June 1981,1h 46min,R,"Kentucky, USA"
tt0083658,Blade Runner,1982,25 June 1982,1h 57min,R,"London, England, UK"
tt0083929,Fast Times at Ridgemont High,1982,13 August 1982,1h 30min,R,"Van Nuys Blvd & Vose St, Van Nuys, Los Angeles, California, USA"
tt0083944,First Blood,1982,22 October 1982,1h 33min,R,"Golden Ears Provincial Park, British Columbia, Canada"
tt0084522,Porky's,1981,19 March 1982,1h 34min,R,"298 Arizona Street, Hollywood, Florida, USA"
