Title,imdb_id
Throne of Blood,tt0050613
Inherit the Wind,tt0053946
Enter the Dragon,tt0070034
Jaws,tt0073195
Star Wars: Episode IV - A New Hope,tt0076759
Drunken Master,tt0080179
Alien,tt0078748
Gideon's Trumpet,tt0080789
Star Wars: Episode V - The Empire Strikes Back,tt0080684
Blade Runner,tt0083658
Tron,tt0084827
Scarface,tt0086250
Star Wars: Episode VI - Return of the Jedi,tt0086190
WarGames,tt0086567
The Karate Kid,tt0087538
The Terminator,tt0088247
Rocky IV,tt0089927
Aliens,tt0090605
Top Gun,tt0092099
The Princess Bride,tt0093779
Die Hard,tt0095016
Dead Poets Society,tt0097165
Glory,tt0097441
Hook,tt0102057
Terminator 2,tt0103064
Basic Instinct,tt0103772
Jurassic Park,tt0107290
Forrest Gump,tt0109830
Pulp Fiction,tt0110912
The Shawshank Redemption,tt0111161
GoldenEye,tt0113189
Se7en,tt0114369
Toy Story,tt0114709
Waterworld,tt0114898
Independence Day,tt0116629
Mission: Impossible,tt0117060
4 Little Girls,tt0118540
Good Will Hunting,tt0119217
Men in Black,tt0119654
The Lost World: Jurassic Park,tt0119567
Tomorrow Never Dies,tt0120347
A Bug's Life,tt0120623
Blade,tt0120611
Mulan,tt0120762
Rush Hour,tt0120812
Saving Private Ryan,tt0120815
Small Soldiers,tt0122718
The Parent Trap,tt0120783
Fight Club,tt0137523
October Sky,tt0132477
Star Wars: Episode I - The Phantom Menace,tt0120915
The Matrix,tt0133093
The World Is Not Enough,tt0143145
Toy Story 2,tt0120363
American Psycho,tt0144084
Cast Away,tt0162222
Charlie's Angels,tt0160127
Gladiator,tt0172495
Mission: Impossible II,tt0120755
"O Brother, Where Art Thou?",tt0190590
Pitch Black,tt0134847
Remember the Titans,tt0210945
Shanghai Noon,tt0184894
X-Men,tt0120903
A Beautiful Mind,tt0268978
Ali,tt0248667
Donnie Darko,tt0246578
Harry Potter and the Sorcerer's Stone,tt0241527
Jurassic Park III,tt0163025
Legally Blonde,tt0250494
"Monsters, Inc.",tt0198781
Ocean's Eleven,tt0240772
Planet of the Apes,tt0133152
Shaolin Soccer,tt0286112
Shrek,tt0126029
Spirited Away,tt0245429
Spy Kids,tt0227538
The Fast and the Furious,tt0232500
The Lord of the Rings: The Fellowship of the Ring,tt0120737
Training Day,tt0139654
Zoolander,tt0196229
Blade II,tt0187738
Die Another Day,tt0246460
Harry Potter and the Chamber of Secrets,tt0295297
Ice Age,tt0268380
Men in Black II,tt0120912
Minority Report,tt0181689
Scooby-Doo,tt0267913
Signs,tt0286106
Spider-Man,tt0145487
Spy Kids 2: Island of Lost Dreams,tt0287717
Star Wars: Episode II - Attack of the Clones,tt0121765
The Bourne Identity,tt0258463
